"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 02 17:54:48 EST 2023","Thu Mar 02 17:54:59 EST 2023","11481","","smoke","","","","app loads",""
"passed","Thu Mar 02 17:41:17 EST 2023","Thu Mar 02 17:41:33 EST 2023","15861","","smoke","","","","app loads",""
"passed","Thu Mar 02 18:07:45 EST 2023","Thu Mar 02 18:07:56 EST 2023","11319","","login negative","","","","should not login with incorrect credentials",""
"failed","Thu Mar 02 17:51:43 EST 2023","Thu Mar 02 17:51:56 EST 2023","13077","","login","","","","should login with correct credentials",""
"passed","Thu Mar 02 17:35:29 EST 2023","Thu Mar 02 17:35:41 EST 2023","12027","","smoke","","","","app loads",""
"passed","Thu Mar 02 17:36:57 EST 2023","Thu Mar 02 17:37:09 EST 2023","12074","","smoke","","","","app loads",""
"passed","Thu Mar 02 17:53:38 EST 2023","Thu Mar 02 17:53:50 EST 2023","11788","","smoke","","","","app loads",""
"passed","Thu Mar 02 17:54:47 EST 2023","Thu Mar 02 17:54:58 EST 2023","10782","","login negative","","","","should not login with incorrect credentials",""
"passed","Thu Mar 02 17:21:53 EST 2023","Thu Mar 02 17:22:00 EST 2023","7445","","smoke","","","","app loads",""
"passed","Thu Mar 02 17:03:16 EST 2023","Thu Mar 02 17:03:19 EST 2023","3053","","app loads","","","","should load the root page",""
"passed","Thu Mar 02 17:51:42 EST 2023","Thu Mar 02 17:51:51 EST 2023","8744","","login negative","","","","should not login with incorrect credentials",""
"failed","Thu Mar 02 17:53:38 EST 2023","Thu Mar 02 17:53:55 EST 2023","17251","","login negative","","","","should not login with incorrect credentials",""
"failed","Thu Mar 02 17:36:57 EST 2023","Thu Mar 02 17:37:03 EST 2023","6732","","login","","","","should login with correct credentials",""
"passed","Thu Mar 02 17:25:01 EST 2023","Thu Mar 02 17:25:09 EST 2023","7860","","login","","","","should login with correct credentials",""
"failed","Thu Mar 02 17:54:47 EST 2023","Thu Mar 02 17:54:53 EST 2023","5579","","login","","","","should login with correct credentials",""
"passed","Thu Mar 02 17:02:24 EST 2023","Thu Mar 02 17:02:27 EST 2023","3817","","app loads","","","","should load the root page",""
"unknown","Thu Mar 02 17:41:19 EST 2023","Thu Mar 02 17:41:27 EST 2023","7622","","login","","","","should login with correct credentials",""
"failed","Thu Mar 02 18:07:45 EST 2023","Thu Mar 02 18:07:58 EST 2023","12973","","login","","","","should login with correct credentials",""
"failed","Thu Mar 02 17:53:38 EST 2023","Thu Mar 02 17:54:00 EST 2023","21551","","login","","","","should login with correct credentials",""
"failed","Thu Mar 02 17:35:29 EST 2023","Thu Mar 02 17:35:38 EST 2023","8233","","login negative","","","","should not login with incorrect credentials",""
"passed","Thu Mar 02 17:51:42 EST 2023","Thu Mar 02 17:51:55 EST 2023","13267","","smoke","","","","app loads",""
"passed","Thu Mar 02 17:13:07 EST 2023","Thu Mar 02 17:13:12 EST 2023","4610","","app loads","","","","should load the root page",""
"broken","Thu Mar 02 17:21:53 EST 2023","Thu Mar 02 17:22:09 EST 2023","16455","","login","","","","should login with correct credentials",""
"passed","Thu Mar 02 17:41:18 EST 2023","Thu Mar 02 17:41:32 EST 2023","13099","","login negative","","","","should not login with incorrect credentials",""
"passed","Thu Mar 02 17:25:01 EST 2023","Thu Mar 02 17:25:10 EST 2023","9181","","smoke","","","","app loads",""
"passed","Thu Mar 02 18:07:47 EST 2023","Thu Mar 02 18:08:10 EST 2023","23191","","logout","","","","should return to login",""
"failed","Thu Mar 02 17:35:30 EST 2023","Thu Mar 02 17:35:44 EST 2023","13863","","login","","","","should login with correct credentials",""
"passed","Thu Mar 02 18:07:46 EST 2023","Thu Mar 02 18:08:12 EST 2023","25365","","smoke","","","","app loads",""
"passed","Thu Mar 02 17:36:57 EST 2023","Thu Mar 02 17:37:08 EST 2023","11082","","login negative","","","","should not login with incorrect credentials",""
